계,컴퍼,회사,월,P,마지막,약대22,약대24,약대28,30,31,36,37,38,39,48,49,60,61
24-04,이타엔지니어링,S,1000,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-05,황학컨스트텍(프리),S,4014,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,해솔기획,SH,100,48,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,이너스시스템,SH,1000,48,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,진승정보기술,S/SH,2001,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,남영산업개발,S/SH,1001,38/60,25-05,26-04,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,마케팅피플,S,1000,38,25-05,26-04,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,비전아이,S,1000,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-06,전한슬라이드,K,1000,60,25-06,26-03,26-05,26-09,26-11,26-12,27-05,27-06,27-07,27-08,28-05,28-06,29-05,29-06
24-06,두원테크,SH,1000,48,25-05,26-03,26-05,26-09,26-11,26-12,27-05,27-06,27-07,27-08,28-05,28-06,29-05,29-06
24-06,디자인시드디앤씨,S,1000,38,25-05,26-03,26-05,26-09,26-11,26-12,27-05,27-06,27-07,27-08,28-05,28-06,29-05,29-06
24-06,뱅가드랩,S,2000,38,25-05,26-03,26-05,26-09,26-11,26-12,27-05,27-06,27-07,27-08,28-05,28-06,29-05,29-06
24-06,신흥플랜트,S,2000,38,25-05,26-03,26-05,26-09,26-11,26-12,27-05,27-06,27-07,27-08,28-05,28-06,29-05,29-06
